#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:16.91 aq:6.88 tex:311338 mv:6560 misc:622 imb:38 pmb:1174 smb:2388 d:t ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:17.85 aq:12.33 tex:25502 mv:5494 misc:1596 imb:3 pmb:804 smb:2793 d:t ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:17.86 aq:13.80 tex:13968 mv:4127 misc:1625 imb:1 pmb:619 smb:2980 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:17.85 aq:13.52 tex:12490 mv:3879 misc:1567 imb:2 pmb:584 smb:3014 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:16.79 aq:7.69 tex:305348 mv:6586 misc:650 imb:54 pmb:1139 smb:2407 d:t ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:16.91 aq:11.00 tex:33457 mv:6216 misc:1447 imb:5 pmb:877 smb:2718 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:16.91 aq:12.24 tex:18335 mv:4384 misc:1513 imb:5 pmb:644 smb:2951 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:16.91 aq:13.00 tex:17828 mv:4481 misc:1571 imb:1 pmb:666 smb:2933 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:16.73 aq:7.42 tex:294052 mv:6312 misc:644 imb:53 pmb:1138 smb:2409 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:16.80 aq:11.04 tex:39872 mv:7621 misc:1299 imb:6 pmb:952 smb:2642 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:16.80 aq:12.56 tex:19404 mv:4192 misc:1532 imb:1 pmb:642 smb:2957 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:16.80 aq:12.56 tex:16922 mv:4337 misc:1533 imb:0 pmb:669 smb:2931 d:- ref:0 ;
in:47 out:45 type:P dur:2 cpbdur:2 q:15.65 aq:11.26 tex:99855 mv:5858 misc:799 imb:51 pmb:1060 smb:2489 d:s ref:0 ;
